Income,Firstdate,Lastdate,Amount,rfaf2,glast,gavr,class,rfaa2_G,rfaa2_E,rfaa2_F,pepstrfl_0
5,9003,9505,0.1,1,15,11.2,0,0,0,1,1
4,8612,9504,0.2,1,21,11.53,0,0,0,1,0
4,9202,9509,0.11,1,15,7.5,0,0,0,1,1
7,9001,9509,0.14,1,15,10.25,0,0,0,1,0
5,9401,9511,0.23,3,14,13.75,0,0,0,1,0
5,9101,9601,0.15,1,15,10.25,0,0,0,1,1
4,9102,9601,0.08,1,75,28.0,0,1,0,0,1
5,9410,9504,0.09,1,20,17.5,0,0,0,1,1
1,8803,9510,0.21,2,14,10.41,0,0,1,0,0
4,9509,9601,0.1,2,20,12.5,0,0,0,1,1
0,9101,9512,0.12,1,15,8.33,0,0,0,1,1
7,9012,9511,0.07,1,25,38.33,0,1,0,0,1
4,9102,9509,0.24,2,10,6.25,0,0,1,0,0
2,8704,9603,0.15,3,16,12.23,0,0,0,1,0
2,9411,9603,0.17,3,15,11.0,0,0,0,1,0
5,9302,9512,0.08,1,22,19.0,0,0,0,1,1
2,9101,9510,0.15,2,14,12.0,0,0,0,1,1
7,9506,9506,0.05,1,25,25.0,0,1,0,0,1
5,8803,9511,0.23,1,25,16.94,0,1,0,0,0
5,9601,9601,0.07,1,15,15.0,0,0,0,1,1
3,9009,9602,0.19,3,12,10.58,0,0,0,1,0
0,9210,9509,0.22,3,11,11.0,0,0,1,0,0
2,8608,9611,0.29,1,12,7.96,0,0,1,0,0
2,9410,9510,0.18,3,6,6.4,0,0,1,0,1
2,9401,9512,0.26,4,10,9.6,0,0,1,0,0
0,9409,9512,0.07,1,25,17.5,0,1,0,0,1
4,8608,9508,0.26,2,20,10.6,1,0,0,1,1
3,8701,9602,0.21,3,11,7.0,0,0,1,0,0
2,9501,9508,0.09,1,20,15.0,0,0,0,1,1
4,9311,9601,0.09,1,25,13.66,0,1,0,0,1
5,9102,9601,0.19,2,20,11.66,0,1,0,0,0
6,9502,9508,0.08,1,25,25.0,0,1,0,0,1
3,8809,9602,0.27,3,10,6.69,0,0,1,0,1
5,8612,9512,0.39,3,5,3.64,0,0,0,0,0
4,9009,9603,0.21,2,25,18.5,0,1,0,0,0
2,9507,9512,0.11,2,20,20.0,0,0,0,1,1
5,8706,9506,0.17,1,15,8.18,0,0,0,1,0
5,9601,9601,0.07,1,20,20.0,0,0,0,1,1
0,8809,9511,0.33,1,17,13.42,0,0,0,1,0
3,8809,9512,0.19,2,10,8.38,0,0,1,0,0
4,9601,9601,0.07,1,15,15.0,0,0,0,1,1
7,8803,9511,0.24,4,5,4.88,0,0,0,0,0
2,8611,9511,0.29,1,10,7.47,0,0,1,0,0
3,8812,9512,0.27,1,10,3.7,0,0,1,0,0
0,8708,9506,0.22,1,10,11.23,0,0,1,0,0
0,8911,9506,0.27,1,12,10.58,0,0,1,0,0
4,9109,9503,0.08,1,15,14.25,0,0,0,1,1
0,8608,9512,0.15,1,25,15.56,0,1,0,0,0
3,8702,9512,0.21,2,10,7.75,0,0,1,0,0
2,8608,9504,0.27,1,10,5.5,0,0,1,0,0
3,9401,9603,0.14,2,15,9.0,0,0,0,1,1
4,9401,9511,0.25,3,12,8.14,0,0,1,0,1
4,9310,9512,0.1,1,20,12.0,0,0,0,1,1
4,8611,9702,0.35,1,15,8.29,0,0,1,0,0
5,8608,9602,0.52,4,5,7.12,0,0,1,0,0
4,9412,9508,0.13,2,20,18.33,0,0,0,1,1
5,9109,9508,0.19,1,15,11.4,0,0,0,1,0
6,8608,9512,0.31,3,5,2.88,0,0,0,0,0
5,9010,9601,0.34,3,6,5.5,0,0,0,0,0
0,9001,9512,0.11,1,20,12.16,0,0,0,1,1
2,9102,9506,0.06,1,15,16.66,0,0,0,1,1
4,9103,9504,0.08,1,15,10.0,0,0,0,1,1
1,9109,9504,0.08,1,25,12.5,0,1,0,0,1
7,9109,9511,0.07,1,65,50.0,0,1,0,0,1
2,9011,9507,0.11,1,16,13.5,0,0,0,1,0
2,8912,9512,0.1,1,19,16.66,0,0,0,1,1
0,8702,9504,0.18,1,20,8.84,0,0,0,1,0
4,9309,9603,0.17,3,24,17.57,0,0,0,1,1
2,9102,9601,0.13,1,17,10.71,0,0,0,1,0
7,9602,9602,0.06,1,20,20.0,0,0,0,1,1
6,9501,9603,0.08,1,25,22.5,0,1,0,0,1
4,8807,9512,0.13,1,19,13.6,0,0,0,1,0
3,8612,9511,0.09,2,250,58.85,0,1,0,0,1
0,9211,9511,0.28,3,5,7.38,0,0,1,0,0
6,9510,9602,0.07,1,25,17.5,1,1,0,0,1
0,8804,9507,0.23,2,10,20.66,0,0,1,0,0
5,8712,9601,0.12,1,50,41.0,0,1,0,0,1
7,9401,9509,0.15,1,20,8.8,0,0,0,1,1
0,9410,9504,0.11,1,22,17.33,0,0,0,1,1
7,9402,9601,0.16,1,15,7.5,0,0,0,1,0
3,8909,9611,0.13,2,10,10.66,0,0,1,0,0
3,9101,9509,0.23,2,10,7.46,0,0,1,0,0
3,8610,9601,0.39,4,11,9.02,0,0,1,0,0
0,9506,9506,0.05,1,25,25.0,1,1,0,0,1
3,9410,9510,0.16,3,10,5.5,0,0,1,0,1
5,9210,9603,0.16,3,30,33.12,0,1,0,0,1
2,8612,9509,0.25,2,8,4.88,0,0,1,0,0
5,9601,9601,0.07,1,15,15.0,0,0,0,1,1
5,9309,9601,0.09,1,15,11.66,0,0,0,1,1
5,9110,9512,0.08,1,15,20.0,0,0,0,1,1
7,8910,9512,0.1,1,15,12.5,0,0,0,1,1
4,9102,9508,0.08,1,25,18.75,0,1,0,0,1
1,9506,9701,0.22,4,10,6.66,0,0,1,0,0
6,9206,9601,0.1,1,20,19.75,0,0,0,1,1
0,8909,9512,0.26,1,10,8.35,0,0,1,0,0
5,9601,9603,0.12,3,10,7.5,0,0,1,0,1
5,9601,9601,0.07,1,25,25.0,0,1,0,0,1
3,9602,9602,0.07,1,50,50.0,0,1,0,0,1
1,9502,9511,0.19,4,7,7.8,0,0,1,0,0
1,8608,9512,0.27,2,30,8.2,0,1,0,0,0
2,9411,9508,0.08,1,15,15.0,0,0,0,1,1
5,9011,9511,0.08,2,17,14.5,0,0,0,1,1
0,9501,9509,0.14,2,14,14.25,0,0,0,1,1
5,9302,9602,0.09,1,25,20.28,0,1,0,0,0
0,9101,9602,0.38,4,5,4.63,0,0,0,0,0
6,9001,9512,0.13,1,27,11.14,0,1,0,0,0
2,8805,9504,0.19,1,12,11.3,0,0,1,0,0
6,9502,9512,0.09,1,15,12.5,0,0,0,1,1
4,9509,9509,0.07,1,15,15.0,0,0,0,1,1
3,9301,9511,0.14,2,30,15.83,0,1,0,0,1
2,8902,9511,0.14,2,15,6.87,0,0,0,1,1
4,9410,9512,0.14,3,10,8.5,0,0,1,0,1
4,8912,9603,0.36,4,6,5.66,0,0,0,0,0
7,8701,9601,0.22,3,10,7.66,0,0,0,1,0
7,9512,9512,0.08,1,20,20.0,0,0,0,1,1
0,9410,9601,0.26,4,9,8.62,0,0,1,0,0
3,9310,9602,0.14,1,20,11.66,0,0,0,1,1
5,9101,9506,0.15,1,30,18.77,0,1,0,0,0
6,8809,9512,0.27,2,10,11.5,0,0,1,0,0
1,8608,9603,0.34,3,5,3.16,0,0,0,0,0
6,9506,9506,0.05,1,25,25.0,0,1,0,0,1
7,9103,9505,0.1,2,25,31.66,0,1,0,0,1
1,9510,9602,0.17,3,10,6.66,0,0,1,0,1
2,8609,9512,0.65,4,12,7.75,0,0,1,0,0
3,9201,9512,0.2,3,12,6.7,0,0,1,0,0
5,9501,9601,0.13,1,20,12.33,0,0,0,1,1
0,8810,9509,0.17,1,20,11.08,0,0,0,1,0
0,9112,9603,0.25,4,8,6.92,0,0,1,0,0
1,8608,9506,0.27,1,12,5.45,0,0,1,0,0
0,9412,9511,0.12,2,20,16.66,0,0,0,1,1
1,8909,9604,0.14,1,0,8.07,0,0,0,1,0
7,8809,9508,0.2,1,14,8.07,0,0,1,0,0
0,9402,9603,0.36,4,3,4.25,0,0,0,0,0
3,9501,9507,0.07,1,25,22.5,0,1,0,0,1
2,9407,9601,0.22,4,5,6.0,0,0,0,0,0
4,8704,9512,0.22,2,10,9.25,0,0,1,0,0
3,9501,9510,0.09,1,20,17.5,0,0,0,1,1
0,9301,9601,0.1,1,25,11.75,0,1,0,0,1
0,9602,9602,0.06,1,20,20.0,0,0,0,1,1
0,8610,9510,0.23,1,19,9.0,0,0,0,1,0
0,9201,9601,0.25,3,10,5.27,0,0,1,0,0
4,8702,9512,0.23,2,14,8.94,0,0,0,1,0
2,9111,9512,0.29,1,15,7.4,0,0,0,1,1
1,8910,9603,0.14,3,10,6.0,0,0,1,0,1
0,8902,9601,0.13,1,35,31.66,0,1,0,0,1
0,9103,9512,0.25,1,50,21.42,0,1,0,0,1
7,8909,9509,0.12,1,25,19.3,0,1,0,0,1
0,9203,9602,0.25,4,13,9.21,0,0,0,1,0
5,9302,9603,0.18,3,10,11.62,0,0,0,1,0
5,8701,9504,0.12,1,16,10.85,0,0,0,1,1
2,8910,9603,0.19,3,10,9.2,0,0,1,0,1
0,9004,9601,0.23,3,7,5.0,0,0,0,0,0
0,8701,9505,0.22,1,25,12.29,0,1,0,0,0
6,8809,9512,0.15,1,25,17.08,0,1,0,0,1
4,8909,9509,0.3,3,9,5.0,0,0,0,0,0
2,9401,9603,0.15,2,15,10.6,0,0,0,1,1
0,9312,9510,0.11,1,25,18.75,0,1,0,0,1
5,8702,9505,0.23,1,15,9.52,1,0,0,1,0
3,8701,9511,0.42,1,11,6.0,0,0,1,0,0
2,8612,9512,0.22,1,20,10.5,0,0,0,1,0
6,8608,9508,0.23,1,10,5.64,0,0,1,0,0
5,9601,9601,0.07,1,20,20.0,0,0,0,1,1
0,9510,9603,0.11,2,15,14.0,0,0,0,1,1
3,9309,9602,0.37,4,6,5.62,0,0,0,0,0
3,9506,9512,0.12,3,15,21.66,0,1,0,0,1
6,9304,9603,0.13,1,25,24.16,0,1,0,0,0
3,9210,9507,0.36,4,3,3.68,0,0,0,0,0
6,9002,9604,0.14,2,25,18.53,0,1,0,0,0
2,9411,9511,0.12,2,12,15.66,0,1,0,0,1
5,9409,9512,0.08,1,15,12.5,0,0,0,1,1
0,9202,9511,0.22,2,12,7.83,0,0,1,0,0
5,9511,9511,0.08,1,20,20.0,0,0,0,1,1
2,9602,9602,0.07,1,15,15.0,0,0,0,1,1
0,9510,9510,0.06,1,23,23.0,0,0,0,1,1
0,9406,9504,0.12,1,25,17.5,0,1,0,0,1
2,9412,9512,0.09,1,25,22.5,0,1,0,0,1
0,9401,9602,0.14,3,6,8.8,0,0,1,0,1
5,9202,9512,0.12,1,50,21.71,0,1,0,0,1
3,8909,9512,0.11,1,50,23.28,0,1,0,0,1
7,9310,9601,0.17,3,15,11.33,0,0,0,1,0
0,9103,9510,0.11,2,20,12.5,0,0,0,1,1
1,8812,9507,0.09,1,20,11.16,0,0,0,1,1
5,9009,9510,0.23,2,6,6.92,0,0,1,0,0
3,9601,9601,0.07,1,20,20.0,0,0,0,1,1
6,9502,9511,0.23,2,15,9.0,0,0,0,1,1
2,9602,9603,0.14,2,6,13.0,0,0,0,1,1
6,8702,9510,0.19,2,25,17.73,0,1,0,0,0
4,9509,9509,0.06,1,20,20.0,0,0,0,1,1
2,9107,9509,0.15,2,23,18.44,0,1,0,0,1
4,9501,9602,0.32,4,4,4.44,0,0,0,0,0
3,9109,9602,0.12,1,25,12.5,0,1,0,0,1
7,8702,9512,0.13,1,25,12.7,0,1,0,0,0
6,9409,9509,0.07,1,20,15.0,0,0,0,1,1
0,9401,9601,0.14,3,16,10.6,0,0,0,1,1
1,8809,9601,0.13,1,15,10.33,0,0,0,1,1
2,9601,9603,0.14,2,6,10.5,0,0,0,1,1
3,8707,9512,0.14,1,15,9.44,0,0,0,1,0
4,9202,9602,0.15,3,10,8.0,0,0,1,0,1
7,9210,9511,0.11,1,20,12.8,0,0,0,1,1
0,8609,9507,0.23,1,25,19.1,0,1,0,0,0
2,9402,9602,0.12,1,15,9.25,0,0,0,1,1
1,9506,9511,0.11,2,5,12.5,0,0,0,1,1
4,8802,9512,0.13,2,50,18.9,0,1,0,0,0
6,8704,9601,0.17,3,20,12.91,0,0,0,1,0
0,9502,9603,0.14,3,10,10.0,0,0,1,0,0
1,9401,9603,0.18,3,14,11.33,0,0,1,0,0
7,8803,9602,0.37,3,9,5.96,0,0,0,0,0
1,9310,9504,0.17,1,20,6.66,0,0,0,1,0
5,8611,9602,0.46,4,12,11.23,0,0,1,0,0
3,9310,9512,0.08,1,20,11.33,0,0,0,1,1
5,8905,9602,0.15,1,18,12.61,0,0,0,1,0
2,9410,9511,0.14,2,35,15.75,0,1,0,0,1
0,9410,9512,0.16,3,20,14.4,0,0,0,1,1
1,8703,9601,0.28,1,30,7.66,0,1,0,0,0
0,8610,9511,0.44,4,4,3.38,0,0,0,0,0
5,9212,9509,0.15,1,18,10.66,0,0,0,1,1
2,8807,9601,0.24,4,7,6.46,0,0,0,0,1
1,9102,9603,0.21,4,10,9.12,0,0,0,1,1
6,9510,9602,0.11,2,15,12.5,0,0,0,1,1
0,9510,9510,0.06,1,20,20.0,0,0,0,1,1
5,8910,9507,0.22,2,11,8.25,0,0,1,0,1
1,9601,9601,0.07,1,23,23.0,0,0,0,1,1
2,8609,9504,0.17,1,14,9.07,0,0,1,0,0
7,9301,9601,0.14,3,6,6.5,0,0,1,0,0
2,9511,9511,0.07,1,20,20.0,0,0,0,1,1
4,9309,9603,0.2,3,10,8.0,0,0,1,0,1
2,9409,9510,0.08,1,20,15.0,0,0,0,1,1
7,9203,9603,0.15,1,15,10.36,0,0,0,1,1
2,8809,9508,0.12,1,17,13.5,0,0,0,1,1
7,9103,9508,0.2,4,19,15.72,0,1,0,0,1
3,9202,9508,0.1,2,15,14.6,0,0,0,1,1
1,8809,9508,0.13,2,15,10.25,0,0,0,1,1
4,9309,9512,0.15,1,32,16.33,0,1,0,0,1
2,8805,9506,0.28,1,10,6.93,0,0,1,0,0
2,8612,9506,0.31,1,35,23.87,0,1,0,0,0
0,9001,9702,0.43,4,20,16.03,0,0,0,1,0
3,9209,9512,0.19,2,12,10.22,0,0,0,1,0
6,9403,9512,0.14,2,15,11.8,0,0,0,1,0
5,9204,9508,0.09,1,20,10.66,0,0,0,1,1
2,9506,9601,0.27,4,5,6.0,0,0,0,0,0
3,8612,9510,0.17,2,15,9.84,0,0,0,1,0
5,8608,9509,0.18,1,10,7.23,0,0,1,0,0
7,9511,9511,0.06,1,15,15.0,0,0,0,1,1
0,9502,9601,0.2,4,5,6.0,0,0,1,0,0
3,8712,9506,0.28,2,10,8.9,0,0,1,0,0
3,9002,9512,0.2,3,9,7.23,1,0,0,0,0
1,9506,9512,0.13,3,15,15.66,0,0,0,1,1
5,9310,9601,0.22,4,10,6.66,0,0,1,0,0
6,9108,9512,0.2,1,30,12.54,0,1,0,0,0
3,9501,9510,0.08,1,20,12.5,0,0,0,1,1
4,8801,9603,0.12,1,30,47.77,0,1,0,0,0
7,9411,9511,0.08,1,25,25.0,0,1,0,0,1
0,8801,9511,0.39,2,7,7.02,0,0,1,0,0
0,9309,9505,0.1,1,20,16.25,0,0,0,1,1
6,8801,9602,0.13,3,10,6.88,0,0,1,0,0
1,8809,9701,0.18,2,10,8.55,0,0,0,1,1
5,9302,9506,0.09,1,15,15.5,0,0,0,1,1
3,9002,9601,0.19,3,18,13.75,1,0,0,1,0
1,9310,9504,0.16,1,15,11.66,0,0,0,1,0
1,8902,9507,0.08,1,21,12.2,0,0,0,1,1
5,9509,9601,0.1,2,20,12.5,0,0,0,1,1
3,9602,9602,0.07,1,20,20.0,0,0,0,1,1
5,9602,9602,0.07,1,28,28.0,0,1,0,0,1
1,8705,9602,0.32,3,25,18.05,0,1,0,0,1
0,9211,9602,0.24,3,15,15.83,1,0,0,1,0
0,9209,9512,0.23,1,10,9.0,0,0,1,0,0
4,9502,9507,0.09,1,18,15.5,0,0,0,1,1
3,9309,9512,0.2,3,12,9.18,0,0,1,0,0
2,9012,9512,0.18,2,11,9.08,0,0,1,0,0
2,9010,9511,0.17,2,15,10.2,0,0,0,1,1
5,9003,9512,0.2,3,5,7.25,0,0,1,0,0
0,9302,9504,0.08,1,25,21.66,0,1,0,0,1
5,9010,9603,0.12,1,30,20.83,0,1,0,0,1
0,9104,9511,0.09,1,20,15.0,0,0,0,1,1
5,9203,9512,0.12,2,20,14.2,0,0,0,1,1
2,9011,9601,0.45,4,5,3.6,0,0,0,0,0
4,9602,9602,0.07,1,25,25.0,0,1,0,0,1
1,9501,9512,0.09,1,20,17.5,0,0,0,1,1
7,9309,9506,0.15,1,15,9.0,0,0,0,1,0
2,9401,9601,0.29,4,6,5.6,0,0,0,0,0
4,9603,9603,0.1,1,20,20.0,0,0,0,1,1
2,9210,9602,0.1,1,10,8.85,0,0,0,1,1
1,9403,9601,0.19,3,10,10.0,1,0,0,1,0
1,9101,9602,0.18,3,15,15.27,0,0,0,1,0
3,8609,9603,0.25,2,11,6.66,0,0,1,0,0
0,9302,9602,0.12,2,15,11.2,0,0,0,1,1
6,9302,9512,0.11,2,40,19.0,0,1,0,0,1
6,9509,9601,0.13,3,12,18.33,0,1,0,0,1
2,9009,9506,0.2,1,16,10.55,0,0,0,1,1
6,9602,9602,0.07,1,20,20.0,0,0,0,1,1
5,9412,9506,0.13,2,15,15.0,0,0,0,1,1
7,9310,9601,0.25,3,6,7.1,0,0,1,0,0
7,8909,9511,0.09,2,35,32.5,0,1,0,0,1
7,9506,9506,0.06,1,20,20.0,0,0,0,1,1
0,9601,9601,0.07,1,28,28.0,0,1,0,0,1
5,9009,9503,0.1,1,25,23.0,0,1,0,0,1
4,8702,9512,0.18,2,6,9.25,0,0,1,0,0
5,9511,9511,0.08,1,15,15.0,0,0,0,1,1
2,9301,9601,0.15,2,15,12.28,0,0,0,1,1
0,9505,9602,0.15,3,10,7.33,0,0,1,0,1
0,9301,9512,0.38,4,10,7.14,0,0,1,0,0
1,9602,9602,0.07,1,20,20.0,0,0,0,1,1
0,8701,9601,0.18,2,50,15.86,0,1,0,0,0
4,9310,9510,0.2,3,9,7.0,0,0,1,0,1
7,9602,9602,0.07,1,50,50.0,0,1,0,0,1
6,9510,9510,0.06,1,25,25.0,0,1,0,0,1
1,9002,9512,0.25,4,5,5.6,0,0,0,0,0
0,9311,9504,0.18,1,20,17.14,0,0,0,1,0
3,8609,9604,0.33,4,5,5.02,0,0,0,0,0
4,9401,9512,0.14,3,25,17.6,0,1,0,0,1
4,8803,9601,0.33,3,7,6.0,0,0,0,0,0
2,9511,9511,0.08,1,25,25.0,0,1,0,0,1
3,9109,9511,0.1,1,25,11.8,0,1,0,0,1
1,8701,9601,0.3,2,10,4.88,0,0,1,0,0
2,9002,9602,0.22,2,5,7.71,0,0,1,0,0
0,9502,9512,0.09,1,15,12.5,0,0,0,1,1
0,9003,9701,0.13,1,30,24.44,0,1,0,0,0
7,8608,9602,0.33,2,15,6.96,0,0,0,1,0
5,9006,9505,0.1,1,40,30.83,0,1,0,0,1
0,9507,9603,0.1,2,20,15.0,0,0,0,1,1
0,8909,9512,0.22,2,20,16.45,0,0,0,1,0
7,8801,9601,0.19,3,12,9.15,0,0,1,0,0
7,8707,9602,0.12,2,20,15.5,0,0,0,1,1
5,9103,9603,0.17,2,20,8.77,0,0,0,1,0
3,8801,9512,0.15,1,15,8.6,0,0,0,1,0
5,9201,9512,0.1,1,20,15.0,0,0,0,1,1
5,9603,9603,0.1,1,20,20.0,0,0,0,1,1
1,9101,9512,0.21,1,17,11.23,0,0,0,1,1
7,9409,9504,0.08,1,20,12.5,0,0,0,1,1
4,9001,9512,0.31,2,20,17.71,0,0,0,1,1
7,8610,9602,0.14,1,30,14.81,0,1,0,0,0
2,8804,9504,0.15,1,18,11.72,1,0,0,1,1
1,9008,9609,0.18,4,20,16.62,0,0,0,1,0
6,9501,9511,0.09,1,22,16.0,0,0,0,1,1
1,9002,9601,0.26,2,20,10.3,0,0,0,1,0
1,8801,9511,0.3,1,7,7.28,0,0,0,1,0
0,9501,9504,0.09,1,20,16.5,0,0,0,1,1
4,9602,9602,0.07,1,20,20.0,0,0,0,1,1
0,8610,9601,0.24,3,7,5.16,0,0,1,0,0
5,9401,9512,0.16,3,10,8.0,0,0,1,0,1
0,9502,9511,0.1,1,20,12.5,0,0,0,1,1
3,9402,9512,0.08,1,25,25.0,0,1,0,0,1
0,9603,9605,0.07,1,0,50.0,0,1,0,0,1
2,8901,9512,0.42,2,14,13.5,0,0,1,0,0
6,9301,9511,0.18,2,25,17.12,0,1,0,0,1
2,8702,9601,0.2,2,5,8.61,0,0,1,0,0
0,9402,9601,0.23,1,25,20.0,0,1,0,0,1
5,8705,9603,0.2,2,10,8.0,0,0,1,0,0
2,9409,9509,0.1,2,12,15.66,0,1,0,0,1
4,9310,9601,0.33,4,11,8.5,0,0,1,0,0
3,8608,9701,0.5,2,5,6.09,0,0,1,0,0
7,9111,9506,0.11,1,18,16.5,0,0,0,1,0
4,9506,9506,0.06,1,15,15.0,0,0,0,1,1
0,9010,9601,0.18,4,20,13.0,0,0,0,1,0
2,8610,9603,0.35,4,15,8.55,0,0,0,1,0
5,8810,9512,0.33,4,3,4.28,0,0,0,0,0
2,8902,9602,0.2,2,16,7.66,1,0,0,1,0
2,9410,9601,0.11,2,10,15.0,0,1,0,0,1
1,9301,9601,0.21,3,10,5.25,1,0,1,0,0
0,9509,9509,0.05,1,50,50.0,0,1,0,0,1
0,9510,9510,0.07,1,20,20.0,0,0,0,1,1
5,9510,9510,0.06,1,25,25.0,0,1,0,0,1
0,8905,9512,0.17,1,22,7.5,0,0,0,1,0
3,9201,9604,0.12,1,25,13.57,0,1,0,0,1
0,9309,9512,0.5,3,10,8.55,0,0,1,0,0
4,9502,9602,0.13,2,15,11.66,0,0,0,1,0
0,8801,9509,0.24,1,17,11.94,0,0,0,1,0
0,8910,9512,0.15,1,15,14.6,0,0,0,1,1
0,9404,9507,0.09,1,25,13.66,0,1,0,0,1
0,9103,9509,0.16,1,15,9.5,0,0,0,1,1
2,9509,9602,0.15,3,14,10.0,0,0,1,0,1
6,9412,9601,0.09,1,17,16.0,0,0,0,1,1
2,9310,9603,0.27,4,6,5.54,0,0,0,0,0
5,9409,9511,0.13,2,13,13.25,0,0,0,1,1
6,9001,9509,0.07,1,30,18.5,0,1,0,0,1
4,9502,9512,0.13,2,16,10.66,0,0,0,1,1
0,9601,9601,0.08,1,20,20.0,0,0,0,1,1
5,9506,9506,0.06,1,15,15.0,0,0,0,1,1
5,9501,9602,0.08,1,16,13.0,0,0,0,1,1
2,8703,9602,0.25,2,10,5.68,0,0,1,0,0
5,9201,9601,0.1,1,25,12.0,0,1,0,0,0
1,9601,9612,0.1,1,10,16.66,0,0,0,1,1
6,8702,9509,0.34,1,50,27.91,0,1,0,0,0
7,9005,9504,0.16,1,20,10.0,0,0,0,1,0
5,8811,9507,0.17,2,10,10.09,0,0,1,0,0
1,8803,9512,0.3,3,10,11.26,0,0,0,1,0
5,8809,9506,0.4,2,25,12.18,0,1,0,0,0
0,9501,9511,0.12,2,20,10.66,0,0,0,1,1
1,8608,9602,0.4,3,5,5.38,0,0,0,0,0
7,9104,9506,0.07,1,15,15.66,0,0,0,1,1
4,8612,9504,0.43,1,10,5.9,0,0,1,0,0
1,9112,9602,0.32,3,7,6.83,0,0,0,0,0
4,9310,9507,0.11,1,16,9.66,0,0,0,1,1
6,9601,9601,0.08,1,20,20.0,0,0,0,1,1
4,8809,9701,0.17,2,10,12.83,0,0,1,0,1
2,9502,9512,0.09,1,15,10.0,0,0,0,1,1
5,8809,9611,0.17,3,11,16.29,0,0,0,1,0
6,9005,9511,0.24,3,15,18.66,0,1,0,0,0
5,9004,9601,0.14,2,25,15.42,0,1,0,0,1
4,8610,9510,0.3,1,17,9.22,0,0,0,1,0
3,8710,9508,0.2,1,10,11.07,0,0,1,0,0
4,9602,9602,0.07,1,25,25.0,0,1,0,0,1
4,9110,9509,0.38,4,8,6.28,0,0,0,0,0
